function,dimensions,bits,ga_min,real_min
Schwefel 7,5,29,-1745.179904781911,-2094.9145
Schwefel 7,10,29,-2823.016475140631,-4189.829
Schwefel 7,50,29,-5951.16822933677,-20949.144999999997
Schwefel 7,100,29,-9648.116114837414,-41898.28999999999
Schwefel 7,500,29,-21339.16977630006,-209491.44999999998
Schwefel 7,1000,29,-29894.008608744538,-418982.89999999997
