function,dimensions,bits,ga_min,real_min
Moved axis parallel hyper-ellipsoid,5,23,5.229638482959341,0
Moved axis parallel hyper-ellipsoid,10,23,179.48094710944386,0
Moved axis parallel hyper-ellipsoid,50,23,25257.86353821945,0
Moved axis parallel hyper-ellipsoid,100,23,120347.81286984697,0
Moved axis parallel hyper-ellipsoid,500,23,4135492.273796536,0
Moved axis parallel hyper-ellipsoid,1000,23,17863258.77889395,0
