function,dimensions,bits,ga_min,real_min
Rastrigin 6,5,23,9.598813753232378,0
Rastrigin 6,10,23,69.77246401027902,0
Rastrigin 6,50,23,600.154189237166,0
Rastrigin 6,100,23,1375.1537348347902,0
Rastrigin 6,500,23,8046.0674308458565,0
Rastrigin 6,1000,23,16909.69722478358,0
