function,dimensions,bits,ga_min,real_min
Sum of different power 9,5,20,0.00013557403077095408,0
Sum of different power 9,10,20,0.007447341191938713,0
Sum of different power 9,50,20,0.0950274933962726,0
Sum of different power 9,100,20,0.22503944768675616,0
Sum of different power 9,500,20,0.5637801394996479,0
Sum of different power 9,1000,20,0.7537625457923747,0
