times,workers
0.4514322280883789,1
0.032911062240600586,1
0.026926755905151367,1
0.023935794830322266,1
0.023935317993164062,1
0.023935794830322266,1
0.023935556411743164,1
0.022937774658203125,1
0.023397445678710938,1
0.023935794830322266,1
0.023923158645629883,1
0.02393198013305664,1
0.025926828384399414,1
0.02393198013305664,1
0.02854323387145996,1
0.028922557830810547,1
0.02892279624938965,1
0.022916793823242188,1
0.023909568786621094,1
0.025902271270751953,1
0.024905920028686523,1
0.024905681610107422,1
0.023908615112304688,1
0.0249330997467041,1
0.02345728874206543,1
0.02393627166748047,1
0.02393484115600586,1
0.022938966751098633,1
0.024904727935791016,1
0.02390766143798828,1
0.024903297424316406,1
0.024933576583862305,1
0.02393627166748047,1
0.02393651008605957,1
0.023936748504638672,1
0.023936033248901367,1
0.023933887481689453,1
0.023908376693725586,1
0.02393627166748047,1
0.022938251495361328,1
0.023960351943969727,1
0.02393198013305664,1
0.02393627166748047,1
0.023571014404296875,1
0.02290940284729004,1
0.023908615112304688,1
0.02393651008605957,1
0.023905038833618164,1
0.023908376693725586,1
0.023962974548339844,1
0.3530561923980713,2
0.013963460922241211,2
0.012937784194946289,2
0.012819290161132812,2
0.011968135833740234,2
0.011968374252319336,2
0.013124942779541016,2
0.01296544075012207,2
0.012963533401489258,2
0.01194000244140625,2
0.011968374252319336,2
0.011940479278564453,2
0.011968374252319336,2
0.011939764022827148,2
0.011940956115722656,2
0.012965917587280273,2
0.012965202331542969,2
0.011968135833740234,2
0.013988971710205078,2
0.012937068939208984,2
0.01293802261352539,2
0.012937307357788086,2
0.01296544075012207,2
0.012964487075805664,2
0.012936115264892578,2
0.012965202331542969,2
0.012992620468139648,2
0.01194000244140625,2
0.01196742057800293,2
0.011968612670898438,2
0.012937307357788086,2
0.011943817138671875,2
0.01212453842163086,2
0.011938095092773438,2
0.012938737869262695,2
0.011938810348510742,2
0.013934850692749023,2
0.012931585311889648,2
0.01293492317199707,2
0.012933015823364258,2
0.011964559555053711,2
0.01298832893371582,2
0.01293492317199707,2
0.011938333511352539,2
0.012964963912963867,2
0.012936830520629883,2
0.012964725494384766,2
0.012937784194946289,2
0.012937545776367188,2
0.013962745666503906,2
0.3171517848968506,3
0.009946346282958984,3
0.008946657180786133,3
0.00997471809387207,3
0.010942459106445312,3
0.009945869445800781,3
0.009945869445800781,3
0.009946584701538086,3
0.009973287582397461,3
0.008948564529418945,3
0.01094508171081543,3
0.008975505828857422,3
0.009972333908081055,3
0.008976221084594727,3
0.009974002838134766,3
0.00997304916381836,3
0.009973287582397461,3
0.009943962097167969,3
0.008946657180786133,3
0.010971784591674805,3
0.008948326110839844,3
0.009946823120117188,3
0.010971307754516602,3
0.009973764419555664,3
0.009946823120117188,3
0.009973764419555664,3
0.009945869445800781,3
0.008948087692260742,3
0.009973526000976562,3
0.009973764419555664,3
0.009946107864379883,3
0.009943723678588867,3
0.008948802947998047,3
0.009946584701538086,3
0.008949518203735352,3
0.009653329849243164,3
0.009974241256713867,3
0.009047508239746094,3
0.009946584701538086,3
0.012993574142456055,3
0.009943246841430664,3
0.00897669792175293,3
0.009971857070922852,3
0.009946584701538086,3
0.009972572326660156,3
0.010946273803710938,3
0.008975505828857422,3
0.009945869445800781,3
0.008976221084594727,3
0.009974241256713867,3
0.29122090339660645,4
0.009347677230834961,4
0.007951021194458008,4
0.008976459503173828,4
0.008975982666015625,4
0.008948802947998047,4
0.008948087692260742,4
0.008948564529418945,4
0.008977174758911133,4
0.008976221084594727,4
0.0079498291015625,4
0.008948802947998047,4
0.008948564529418945,4
0.008952856063842773,4
0.00894784927368164,4
0.00795125961303711,4
0.007950544357299805,4
0.008976459503173828,4
0.008947610855102539,4
0.008946895599365234,4
0.009973764419555664,4
0.007951498031616211,4
0.00897669792175293,4
0.009974479675292969,4
0.008948326110839844,4
0.008975982666015625,4
0.008949518203735352,4
0.00797891616821289,4
0.007979154586791992,4
0.007947921752929688,4
0.008976221084594727,4
0.008976459503173828,4
0.007978200912475586,4
0.008975982666015625,4
0.009001493453979492,4
0.00897526741027832,4
0.009945392608642578,4
0.00894927978515625,4
0.007977485656738281,4
0.008964776992797852,4
0.008949995040893555,4
0.008974313735961914,4
0.009949922561645508,4
0.008947134017944336,4
0.008089780807495117,4
0.008976221084594727,4
0.009946823120117188,4
0.008948802947998047,4
0.00894618034362793,4
0.007951498031616211,4
0.5051801204681396,5
0.008945941925048828,5
0.00994563102722168,5
0.007978677749633789,5
0.009230375289916992,5
0.007979154586791992,5
0.008947372436523438,5
0.00795125961303711,5
0.009972572326660156,5
0.007951498031616211,5
0.007948875427246094,5
0.007949113845825195,5
0.010936975479125977,5
0.008976459503173828,5
0.008948564529418945,5
0.00994420051574707,5
0.008975744247436523,5
0.008976221084594727,5
0.010188817977905273,5
0.00894618034362793,5
0.007948875427246094,5
0.007950544357299805,5
0.00894927978515625,5
0.007948875427246094,5
0.008949756622314453,5
0.0081634521484375,5
0.007950782775878906,5
